image_id,image_path,resnet18_raw,resnet18_confidence,resnet18_normalized,vgg16_raw,vgg16_confidence,vgg16_normalized,resnet50_raw,resnet50_confidence,resnet50_normalized,ensemble_score
p01_s20,data/raw/p01_s20.png,85.29987931251526,73.02214307815167,0.7610486042620234,80.69357872009277,36.682171759019155,0.5704888359226115,71.41252756118774,40.64172586732488,0.43446541883138645,0.5886676196720071
p01_s21,data/raw/p01_s21.png,90.74609279632568,88.4743933824751,0.8495771504631063,75.77921152114868,53.3605158014883,0.45749625251100273,84.45907235145569,72.8091975125359,0.6925600181162294,0.6665444736967795
p01_s22,data/raw/p01_s22.png,99.41728115081789,93.75027608206788,0.9905278680838695,74.45926666259766,52.60425083171819,0.4271476901242531,58.44113826751709,0.0,0.1778575908020871,0.5318443830034033
p01_s23,data/raw/p01_s23.png,94.90829706192017,72.25605062586791,0.917234045243372,78.69985103607178,71.86098161890587,0.5246484596305877,87.43990063667297,58.59047072686055,0.7515285568502523,0.7311370205747373
p01_s24,data/raw/p01_s24.png,96.09251618385316,86.74641273680237,0.9364836023090092,80.71673512458801,28.217420435140767,0.5710212548202069,96.57151103019714,81.56897083017545,0.9321755682413444,0.8132268084568534
p01_s26,data/raw/p01_s26.png,82.62208700180054,65.15920982868099,0.7175209201195072,84.02933478355408,38.682582000245404,0.6471855254419489,89.54761624336243,72.8668051250969,0.7932246552165195,0.7193103669259919
p01_s27,data/raw/p01_s27.png,78.11881303787231,43.300340131578686,0.644319915723178,76.32259130477905,73.94128118302052,0.4699898011288652,80.41640520095825,67.94735807819681,0.612585544029577,0.5756317536272068
p01_s29,data/raw/p01_s29.png,69.76592540740967,50.538805706841174,0.5085431965945514,77.84887552261353,49.240070387799435,0.5050825790618081,69.99697089195251,57.57203417289895,0.40646202504518003,0.47336260023384646
p02_s00,data/raw/p02_s00.png,78.50106954574585,49.02474005326754,0.6505335195450889,81.71290755271912,68.44536178110916,0.5939255457739097,70.76908946037292,41.45292165751422,0.4217365391575682,0.5553985348255223
p02_s01,data/raw/p02_s01.png,82.66584277153015,45.423825024728416,0.7182321729364572,79.88649606704712,68.73125111045283,0.5519321529759408,73.1634259223938,41.01624817883137,0.4691027437467968,0.5797556898863983
p02_s02,data/raw/p02_s02.png,83.15110206604004,55.427091034098375,0.7261200935993593,76.48869752883911,63.12157017309198,0.47380896453637905,79.41274046897888,65.96819963446619,0.5927304443858938,0.5975531675072107
p02_s03,data/raw/p02_s03.png,83.78527164459229,76.3125519161638,0.7364285603902909,71.4920163154602,39.70168179251176,0.35892379297141286,79.15472388267517,25.992470836918127,0.5876262050243294,0.5609928527953444
p02_s05,data/raw/p02_s05.png,95.84096670150755,82.25257198473274,0.9323946494914434,69.96361017227173,61.19317601940609,0.32378222710345217,83.11054110527039,66.58553135659746,0.6658825615787013,0.6406864793911989
p02_s07,data/raw/p02_s07.png,94.98686790466309,71.72094078835187,0.9185112192841073,78.72895002365112,42.64932005810529,0.5253175121551852,76.76017880439758,50.89298541040979,0.5402558734627839,0.6613615349673588
p02_s08,data/raw/p02_s08.png,98.19985628128052,67.66194439708678,0.9707385494812171,78.26346755027771,72.01488518698741,0.5146150015225673,82.6009750366211,58.4237906485991,0.6558020189973969,0.7137185233337271
p02_s09,data/raw/p02_s09.png,85.02591252326965,65.0748831493366,0.7565952566965286,82.34255909919739,73.91427545282437,0.6084026802666234,92.94294714927672,45.57059107021904,0.8603931342037744,0.7417970237223087
p02_s10,data/raw/p02_s10.png,94.75027322769164,41.49371641011629,0.9146653577780425,89.62960243225098,65.61709940131927,0.7759485347585258,92.63438582420348,6.187604005731334,0.8542889884065681,0.8483009603143787
p02_s11,data/raw/p02_s11.png,100.0,65.83471616289503,1.0,74.05010461807251,45.90235445518435,0.41774011544102524,75.22818446159363,36.31019228695292,0.5099490395562633,0.6425630516657628
p02_s12,data/raw/p02_s12.png,88.5124683380127,70.48598197779683,0.8132694429813052,85.00364422798157,58.3868390801066,0.6695871362112551,82.9262912273407,53.827786757823596,0.6622376196283991,0.7150313996069865
